Zeit;Kanal A
(ms);(mV)

-21,54249914;-0,74434050
-21,53749914;-0,18577760
-21,53249914;-0,37217020
-21,52749914;-0,55856290
-21,52249914;-0,55856290
-21,51749914;0,00000000
-21,51249914;0,18577760
-21,50749914;-1,30290300
-21,50249914;0,00000000
-21,49749914;-0,37217020
-21,49249914;0,00000000
-21,48749914;-0,55856290
-21,48249914;-0,18577760
-21,47749914;0,00000000
-21,47249914;0,18577760
-21,46749914;0,18577760
-21,46249914;0,74434050
-21,45749914;0,55856290
-21,45249914;0,18577760
-21,44749914;-0,18577760
-21,44249914;0,00000000
-21,43749914;0,18577760
-21,43249914;-0,18577760
-21,42749914;0,18577760
-21,42249914;-0,37217020
-21,41749914;0,18577760
-21,41249914;0,18577760
-21,40749914;-0,18577760
-21,40249914;-0,74434050
-21,39749914;-0,37217020
-21,39249914;-0,37217020
-21,38749914;-0,18577760
-21,38249914;-0,74434050
-21,37749914;-0,55856290
-21,37249914;-0,93073320
-21,36749914;-0,74434050
-21,36249914;-0,74434050
-21,35749914;-0,74434050
-21,35249914;-0,37217020
-21,34749914;-0,74434050
-21,34249914;-0,74434050
-21,33749914;-0,93073320
-21,33249914;0,18577760
-21,32749914;-0,37217020
-21,32249914;-1,30290300
-21,31749914;-1,48929600
-21,31249915;-0,18577760
-21,30749915;-1,67568900
-21,30249915;-0,74434050
-21,29749915;-0,74434050
-21,29249915;-0,37217020
-21,28749915;-0,74434050
-21,28249915;-0,93073320
-21,27749915;-0,37217020
-21,27249915;-0,37217020
-21,26749915;-0,93073320
-21,26249915;0,00000000
-21,25749915;0,18577760
-21,25249915;0,18577760
-21,24749915;0,55856290
-21,24249915;0,93073320
-21,23749915;0,74434050
-21,23249915;0,37217020
-21,22749915;0,93073320
-21,22249915;0,55856290
-21,21749915;0,74434050
-21,21249915;1,11712600
-21,20749915;0,00000000
-21,20249915;0,74434050
-21,19749915;0,55856290
-21,19249915;0,93073320
-21,18749915;0,55856290
-21,18249915;-0,74434050
-21,17749915;0,55856290
-21,17249915;0,93073320
-21,16749915;0,74434050
-21,16249915;-0,37217020
-21,15749915;0,18577760
-21,15249915;0,55856290
-21,14749915;0,00000000
-21,14249915;0,18577760
-21,13749915;-0,93073320
-21,13249915;0,00000000
-21,12749915;-0,55856290
-21,12249915;-0,93073320
-21,11749915;-0,74434050
-21,11249915;-0,55856290
-21,10749915;-2,23425200
-21,10249915;-1,30290300
-21,09749915;-1,11712600
-21,09249915;-0,37217020
-21,08749915;-0,37217020
-21,08249915;-0,74434050
-21,07749915;-0,37217020
-21,07249915;-1,30290300
-21,06749915;-1,11712600
-21,06249915;-0,74434050
-21,05749915;-0,37217020
-21,05249915;-0,37217020
-21,04749915;-0,37217020
-21,04249915;-0,55856290
-21,03749915;-0,74434050
-21,03249915;-0,74434050
-21,02749915;-0,55856290
-21,02249915;-0,55856290
-21,01749915;0,00000000
-21,01249915;-0,74434050
-21,00749915;-0,18577760
-21,00249915;-0,37217020
-20,99749915;-0,37217020
-20,99249915;0,55856290
-20,98749915;-0,18577760
-20,98249915;-0,37217020
-20,97749915;0,00000000
-20,97249915;-0,37217020
-20,96749915;0,00000000
-20,96249915;0,00000000
-20,95749915;0,55856290
-20,95249915;0,55856290
-20,94749915;-0,37217020
-20,94249915;0,55856290
-20,93749915;0,37217020
-20,93249915;0,18577760
-20,92749915;0,55856290
-20,92249915;-0,18577760
-20,91749916;0,55856290
-20,91249916;0,55856290
-20,90749916;1,48929600
-20,90249916;0,37217020
-20,89749916;0,74434050
-20,89249916;1,48929600
-20,88749916;1,11712600
-20,88249916;0,93073320
-20,87749916;1,11712600
-20,87249916;1,11712600
-20,86749916;1,48929600
-20,86249916;2,42002900
-20,85749916;1,86146600
-20,85249916;1,67568900
-20,84749916;2,04785900
-20,84249916;1,48929600
-20,83749916;1,67568900
-20,83249916;2,04785900
-20,82749916;2,04785900
-20,82249916;1,30290300
-20,81749916;2,60642200
-20,81249916;1,48929600
-20,80749916;1,86146600
-20,80249916;2,23425200
-20,79749916;1,30290300
-20,79249916;1,67568900
-20,78749916;1,86146600
-20,78249916;2,04785900
-20,77749916;1,48929600
-20,77249916;0,93073320
-20,76749916;1,48929600
-20,76249916;1,11712600
-20,75749916;1,11712600
-20,75249916;1,67568900
-20,74749916;1,30290300
-20,74249916;1,48929600
-20,73749916;1,48929600
-20,73249916;1,48929600
-20,72749916;1,48929600
-20,72249916;1,48929600
-20,71749916;1,48929600
-20,71249916;0,74434050
-20,70749916;0,93073320
-20,70249916;0,74434050
-20,69749916;0,93073320
-20,69249916;0,93073320
-20,68749916;1,11712600
-20,68249916;1,11712600
-20,67749916;1,30290300
-20,67249916;0,93073320
-20,66749916;1,11712600
-20,66249916;0,55856290
-20,65749916;0,18577760
-20,65249916;0,74434050
-20,64749916;0,74434050
-20,64249916;0,55856290
-20,63749916;0,00000000
-20,63249916;0,00000000
-20,62749916;0,55856290
-20,62249916;-0,18577760
-20,61749916;0,55856290
-20,61249916;0,74434050
-20,60749916;0,37217020
-20,60249916;0,00000000
-20,59749916;0,93073320
-20,59249916;0,55856290
-20,58749916;0,74434050
-20,58249916;0,55856290
-20,57749916;0,37217020
-20,57249916;0,37217020
-20,56749916;0,18577760
-20,56249916;0,93073320
-20,55749916;0,00000000
-20,55249916;0,00000000
-20,54749916;1,11712600
-20,54249916;0,55856290
-20,53749916;0,00000000
-20,53249916;0,55856290
-20,52749916;1,11712600
-20,52249916;0,18577760
-20,51749917;0,74434050
-20,51249917;1,30290300
-20,50749917;0,18577760
-20,50249917;1,30290300
-20,49749917;1,67568900
-20,49249917;0,74434050
-20,48749917;1,11712600
-20,48249917;2,04785900
-20,47749917;1,48929600
-20,47249917;1,48929600
-20,46749917;1,86146600
-20,46249917;1,86146600
-20,45749917;1,86146600
-20,45249917;1,67568900
-20,44749917;0,74434050
-20,44249917;1,48929600
-20,43749917;1,48929600
-20,43249917;0,93073320
-20,42749917;0,55856290
-20,42249917;0,55856290
-20,41749917;0,55856290
-20,41249917;0,55856290
-20,40749917;0,37217020
-20,40249917;0,18577760
-20,39749917;-0,37217020
-20,39249917;0,00000000
-20,38749917;-0,18577760
-20,38249917;-0,18577760
-20,37749917;0,74434050
-20,37249917;-0,37217020
-20,36749917;0,00000000
-20,36249917;-0,18577760
-20,35749917;0,18577760
-20,35249917;-0,37217020
-20,34749917;-1,11712600
-20,34249917;-0,55856290
-20,33749917;-0,18577760
-20,33249917;-0,37217020
-20,32749917;-0,18577760
-20,32249917;0,00000000
-20,31749917;-0,74434050
-20,31249917;-0,55856290
-20,30749917;0,18577760
-20,30249917;0,00000000
